Number of Topics,Log-Likelihood,Perplexity,Coherence (UMass),Diversity
5,-7.345,1548.989,-1.005,0.866
6,-7.352,1560.021,-1.493,0.889
7,-7.339,1539.812,-1.139,0.908
8,-7.351,1558.226,-1.193,0.938
9,-7.366,1581.568,-1.436,0.937
10,-7.376,1596.797,-1.102,0.919
11,-7.373,1592.970,-1.638,0.935
12,-7.386,1614.030,-1.495,0.935
13,-7.383,1608.984,-1.345,0.952
14,-7.411,1654.177,-0.873,0.941
15,-7.418,1665.610,-1.482,0.946
16,-7.427,1680.447,-1.687,0.947
17,-7.436,1696.773,-1.336,0.949
18,-7.445,1711.502,-1.821,0.944
19,-7.477,1766.294,-1.473,0.921
20,-7.457,1731.257,-1.665,0.934
21,-7.473,1760.373,-1.581,0.935
22,-7.468,1751.740,-1.781,0.945
23,-7.478,1769.360,-1.426,0.945
24,-7.498,1803.535,-1.400,0.945
25,-7.478,1768.955,-1.340,0.928
26,-7.493,1794.829,-1.684,0.941
27,-7.488,1787.144,-1.336,0.930
28,-7.506,1818.062,-1.336,0.936
29,-7.518,1841.063,-1.310,0.935
30,-7.525,1853.069,-1.278,0.923
31,-7.544,1889.420,-1.442,0.934
32,-7.524,1851.404,-1.582,0.951
33,-7.538,1878.948,-1.473,0.938
34,-7.544,1889.231,-1.328,0.937
35,-7.544,1888.469,-1.159,0.921
36,-7.546,1892.301,-1.570,0.925
37,-7.539,1879.014,-1.652,0.951
38,-7.550,1900.846,-1.852,0.937
39,-7.590,1977.791,-1.790,0.948
40,-7.571,1941.494,-1.282,0.929
