Number of Topics,Log-Likelihood,Perplexity,Coherence (UMass),Diversity
5,-7.005,1102.350,-0.753,0.857
6,-7.043,1145.198,-0.617,0.856
7,-7.146,1269.596,-0.744,0.863
8,-7.107,1220.488,-0.658,0.870
9,-7.142,1263.436,-0.615,0.839
10,-7.126,1244.326,-0.756,0.917
11,-7.152,1276.506,-0.672,0.878
12,-7.207,1348.736,-1.207,0.901
13,-7.224,1372.502,-1.242,0.884
14,-7.252,1411.135,-0.768,0.879
15,-7.250,1407.753,-0.933,0.865
16,-7.245,1400.831,-0.937,0.875
17,-7.324,1515.849,-0.886,0.886
18,-7.311,1496.590,-0.923,0.880
19,-7.322,1513.940,-0.868,0.868
20,-7.334,1531.161,-0.731,0.820
21,-7.306,1489.932,-0.834,0.896
22,-7.351,1558.142,-0.699,0.899
23,-7.339,1539.166,-0.745,0.879
24,-7.399,1634.178,-0.722,0.881
25,-7.373,1593.132,-0.770,0.860
26,-7.409,1651.066,-0.848,0.880
27,-7.399,1633.661,-0.822,0.870
28,-7.406,1646.005,-0.856,0.862
29,-7.393,1624.432,-0.926,0.871
30,-7.417,1664.694,-1.021,0.885
31,-7.440,1702.447,-0.841,0.893
32,-7.442,1705.887,-0.909,0.871
33,-7.459,1735.203,-0.898,0.846
34,-7.471,1756.921,-0.737,0.860
35,-7.509,1824.094,-1.145,0.871
36,-7.492,1794.347,-1.021,0.891
37,-7.502,1811.696,-0.909,0.860
38,-7.539,1880.595,-0.727,0.845
39,-7.521,1847.213,-0.914,0.890
40,-7.555,1909.698,-0.979,0.886
