Number of Topics,Log-Likelihood,Perplexity,Coherence (UMass),Diversity
5,-7.239,1392.530,-1.466,0.925
6,-7.243,1398.685,-1.553,0.934
7,-7.228,1377.249,-1.160,0.951
8,-7.246,1403.024,-1.085,0.920
9,-7.261,1423.681,-0.901,0.917
10,-7.274,1442.656,-0.985,0.915
11,-7.273,1441.517,-0.863,0.918
12,-7.284,1457.531,-0.833,0.889
13,-7.307,1491.363,-1.012,0.889
14,-7.309,1493.116,-0.985,0.934
15,-7.333,1529.238,-0.771,0.924
16,-7.333,1530.273,-1.128,0.928
17,-7.340,1541.228,-1.165,0.916
18,-7.348,1553.148,-1.011,0.906
19,-7.361,1574.118,-1.011,0.920
20,-7.382,1606.875,-1.076,0.922
21,-7.370,1588.255,-1.097,0.927
22,-7.384,1610.413,-0.928,0.946
23,-7.399,1633.785,-0.781,0.906
24,-7.409,1651.518,-0.769,0.936
25,-7.404,1642.409,-0.816,0.907
26,-7.401,1638.313,-0.772,0.912
27,-7.411,1653.563,-0.707,0.909
28,-7.431,1687.696,-0.794,0.907
29,-7.444,1710.404,-0.918,0.936
30,-7.436,1696.340,-0.706,0.916
31,-7.446,1712.498,-0.881,0.923
32,-7.453,1725.844,-0.936,0.929
33,-7.462,1740.411,-0.773,0.900
34,-7.482,1775.394,-0.902,0.921
35,-7.492,1794.137,-1.029,0.942
36,-7.515,1834.538,-1.101,0.921
37,-7.502,1811.590,-0.951,0.927
38,-7.524,1851.496,-0.853,0.911
39,-7.513,1832.301,-1.003,0.906
40,-7.535,1872.329,-0.828,0.906
